,dateRep,cases,countriesAndTerritories,flag
618,2020-01-04,0,Azerbaijan,0.0
3828,2020-01-04,0,Israel,0.0
930,2020-01-04,0,Belgium,0.0
6924,2020-01-04,0,Sri_Lanka,0.0
2801,2020-01-04,0,Georgia,0.0
7138,2020-01-04,0,Switzerland,0.0
7322,2020-01-04,0,Thailand,0.0
6382,2020-01-04,0,San_Marino,0.0
4335,2020-01-04,0,Lebanon,0.0
1605,2020-01-04,169,China,0.0
2575,2020-01-04,0,Finland,0.0
2213,2020-01-04,0,Ecuador,0.0
1110,2020-01-04,0,Brazil,0.0
6243,2020-01-04,0,Russia,0.0
4648,2020-01-04,0,Malaysia,0.0
4031,2020-01-04,0,Japan,0.0
441,2020-01-04,0,Australia,0.0
2893,2020-01-04,0,Germany,0.0
4811,2020-01-04,0,Mexico,0.0
3548,2020-01-04,0,Iran,0.0
1773,2020-01-04,0,Croatia,0.0
6066,2020-01-04,0,Qatar,0.0
1910,2020-01-04,0,Czech_Republic,0.0
838,2020-01-04,0,Belarus,0.0
3013,2020-01-04,0,Greece,0.0
3371,2020-01-04,0,India,0.0
1446,2020-01-04,0,Cases_on_an_international_conveyance_Japan,0.0
7875,2020-01-04,0,Vietnam,0.0
6841,2020-01-04,0,Spain,0.0
6748,2020-01-04,0,South_Korea,0.0
2212,2020-01-05,0,Ecuador,0.0
2125,2020-01-05,0,Dominican_Republic,0.0
4460,2020-01-05,0,Lithuania,0.0
76,2020-01-05,0,Afghanistan,0.0
5642,2020-01-05,0,Oman,0.0
7874,2020-01-05,0,Vietnam,0.0
4545,2020-01-05,0,Luxembourg,0.0
3727,2020-01-05,0,Ireland,0.0
4647,2020-01-05,0,Malaysia,0.0
4912,2020-01-05,0,Monaco,0.0
837,2020-01-05,0,Belarus,0.0
3827,2020-01-05,0,Israel,0.0
7045,2020-01-05,0,Sweden,0.0
1604,2020-01-05,228,China,0.0
1370,2020-01-05,0,Canada,0.0
5556,2020-01-05,0,Norway,0.0
7321,2020-01-05,0,Thailand,0.0
7236,2020-01-05,0,Taiwan,0.0
7729,2020-01-05,0,United_States_of_America,0.0
214,2020-01-05,0,Algeria,0.0
5089,2020-01-05,0,Nepal,0.0
2666,2020-01-05,0,France,0.0
3279,2020-01-05,0,Iceland,0.0
2892,2020-01-05,0,Germany,0.0
6747,2020-01-05,0,South_Korea,0.0
1772,2020-01-05,0,Croatia,0.0
3547,2020-01-05,0,Iran,0.0
4810,2020-01-05,0,Mexico,0.0
6065,2020-01-05,0,Qatar,0.0
6840,2020-01-05,0,Spain,0.0
6560,2020-01-05,0,Singapore,0.0
1909,2020-01-05,0,Czech_Republic,0.0
1445,2020-01-05,0,Cases_on_an_international_conveyance_Japan,0.0
3012,2020-01-05,0,Greece,0.0
617,2020-01-05,0,Azerbaijan,0.0
929,2020-01-05,0,Belgium,0.0
6923,2020-01-05,0,Sri_Lanka,0.0
2800,2020-01-05,0,Georgia,0.0
6381,2020-01-05,0,San_Marino,0.0
4334,2020-01-05,0,Lebanon,0.0
2574,2020-01-05,0,Finland,0.0
1109,2020-01-05,0,Brazil,0.0
7137,2020-01-05,0,Switzerland,0.0
440,2020-01-05,0,Australia,0.0
5463,2020-01-05,0,North_Macedonia,0.0
3637,2020-01-05,0,Iraq,0.0
1259,2020-01-05,0,Cambodia,0.0
2427,2020-01-05,0,Estonia,0.0
4201,2020-01-05,0,Kuwait,0.0
722,2020-01-05,0,Bahrain,0.0
6242,2020-01-05,0,Russia,0.0
532,2020-01-05,0,Austria,0.0
339,2020-01-05,0,Armenia,0.0
3919,2020-01-05,0,Italy,0.0
7530,2020-01-05,0,United_Arab_Emirates,0.0
2300,2020-01-05,0,Egypt,0.0
2020,2020-01-05,0,Denmark,0.0
5275,2020-01-05,0,New_Zealand,0.0
5729,2020-01-05,0,Pakistan,0.0
5918,2020-01-05,0,Philippines,0.0
7622,2020-01-05,0,United_Kingdom,0.0
5380,2020-01-05,0,Nigeria,0.0
5181,2020-01-05,0,Netherlands,0.0
3370,2020-01-05,0,India,0.0
3455,2020-01-05,0,Indonesia,0.0
4030,2020-01-05,0,Japan,0.0
6155,2020-01-05,0,Romania,0.0
7235,2020-01-06,0,Taiwan,0.0
439,2020-01-06,0,Australia,0.0
3278,2020-01-06,0,Iceland,0.0
5728,2020-01-06,0,Pakistan,0.0
2665,2020-01-06,0,France,0.0
4911,2020-01-06,0,Monaco,0.0
531,2020-01-06,0,Austria,0.0
1369,2020-01-06,0,Canada,0.0
4333,2020-01-06,0,Lebanon,0.0
2799,2020-01-06,0,Georgia,0.0
616,2020-01-06,0,Azerbaijan,0.0
6839,2020-01-06,0,Spain,0.0
1908,2020-01-06,0,Czech_Republic,0.0
6064,2020-01-06,0,Qatar,0.0
1771,2020-01-06,0,Croatia,0.0
2019,2020-01-06,0,Denmark,0.0
3454,2020-01-06,0,Indonesia,0.0
3369,2020-01-06,0,India,0.0
7621,2020-01-06,0,United_Kingdom,0.0
2211,2020-01-06,0,Ecuador,0.0
6746,2020-01-06,0,South_Korea,0.0
721,2020-01-06,0,Bahrain,0.0
4200,2020-01-06,0,Kuwait,0.0
5274,2020-01-06,0,New_Zealand,0.0
4459,2020-01-06,0,Lithuania,0.0
3918,2020-01-06,0,Italy,0.0
2891,2020-01-06,0,Germany,0.0
2124,2020-01-06,0,Dominican_Republic,0.0
5555,2020-01-06,0,Norway,0.0
7728,2020-01-06,0,United_States_of_America,0.0
4544,2020-01-06,0,Luxembourg,0.0
7044,2020-01-06,0,Sweden,0.0
5379,2020-01-06,0,Nigeria,0.0
4646,2020-01-06,0,Malaysia,0.0
7136,2020-01-06,0,Switzerland,0.0
1603,2020-01-06,287,China,0.0
5088,2020-01-06,0,Nepal,0.0
7873,2020-01-06,0,Vietnam,0.0
5180,2020-01-06,0,Netherlands,0.0
3826,2020-01-06,0,Israel,0.0
6154,2020-01-06,0,Romania,0.0
7320,2020-01-06,0,Thailand,0.0
6559,2020-01-06,0,Singapore,0.0
836,2020-01-06,0,Belarus,0.0
213,2020-01-06,0,Algeria,0.0
