,country,lat,long
132,NC,-21.307791315999964,165.70184184200002
133,NZ,-42.28723356399996,172.34343250000006
134,NI,12.934455771000046,-85.00621251399997
135,NE,17.42088083400006,9.401672665000035
136,NG,9.593696882000074,8.106777828000077
137,MK,41.610468113000024,21.715233082000054
138,MP,15.188824770000053,145.75351048700009
139,NO,62.00000000000006,10.000000000000057
140,OM,20.59793733300006,56.10497815300005
141,PK,30.314282999000056,70.21010363900007
142,PS,31.91271978700007,35.204684057000065
143,PA,8.939604460000055,-79.97292613699994
144,PG,-6.475589906999971,145.253800898
145,PY,11.92993000000007,79.82470000000006
146,PE,-9.999999999999943,-75.99999999999994
147,PH,14.164862797000069,120.8616300000001
148,PL,52.12379015400006,19.39876898600005
149,PT,39.59313904600003,-8.519812989999934
